image_name,image_name_copy,image_complexity
0_0,26,0.3607332706451416
0_1,35,0.2949167788028717
0_2,58,0.38839709758758545
0_3,61,0.41948890686035156
0_4,32,0.40673765540122986
0_5,31,0.2822796404361725
0_6,16,0.4786844849586487
0_7,40,0.39007601141929626
0_8,34,0.36015185713768005
0_9,90,0.4274623990058899
0_10,20,0.3590586185455322
0_11,31,0.3374199867248535
0_12,65,0.36775830388069153
0_13,15,0.4637605547904968
0_14,37,0.4746197462081909
0_15,50,0.39070770144462585
0_16,77,0.24518348276615143
0_17,10,0.2557829022407532
0_18,4,0.41551101207733154
0_19,1,0.3619672656059265
0_20,91,0.44479072093963623
0_21,4,0.3653455376625061
0_22,98,0.609819233417511
0_23,58,0.4728805720806122
0_24,34,0.42139479517936707
0_25,34,0.5294729471206665
0_26,33,0.20985941588878632
0_27,28,0.3312099575996399
0_28,65,0.563424825668335
0_29,45,0.34576094150543213
0_30,84,0.5164011120796204
0_31,99,0.24462860822677612
0_32,6,0.26147791743278503
0_33,35,0.4128133952617645
0_34,42,0.35032331943511963
0_35,94,0.3958703875541687
0_36,0,0.4452832341194153
0_37,40,0.4933340847492218
0_38,97,0.30503255128860474
0_39,84,0.46796751022338867
0_40,17,0.31779173016548157
0_41,78,0.3905506730079651
0_42,68,0.21268415451049805
0_43,29,0.4433170258998871
0_44,7,0.7370918393135071
0_45,24,0.4090181887149811
0_46,76,0.4839727282524109
0_47,67,0.5438671112060547
0_48,24,0.5097439289093018
0_49,53,0.40762272477149963
0_50,59,0.2732776999473572
0_51,6,0.43068915605545044
0_52,80,0.41009873151779175
0_53,25,0.17991957068443298
0_54,49,0.37672555446624756
0_55,70,0.3960762023925781
0_56,80,0.5289631485939026
0_57,3,0.5043115615844727
0_58,16,0.6474623084068298
0_59,53,0.3304819166660309
0_60,50,0.4237990081310272
0_61,27,0.34251314401626587
0_62,69,0.35983648896217346
0_63,5,0.5771552324295044
0_64,92,0.6113892197608948
0_65,84,0.37079042196273804
0_66,38,0.3937565088272095
0_67,87,0.3881434202194214
0_68,19,0.3387213945388794
0_69,86,0.6011654734611511
0_70,51,0.4738740622997284
0_71,27,0.35662251710891724
0_72,49,0.33035892248153687
0_73,5,0.39173468947410583
0_74,54,0.36648449301719666
0_75,21,0.42893049120903015
0_76,51,0.7048124670982361
0_77,60,0.4051038920879364
0_78,52,0.525623083114624
0_79,50,0.39809608459472656
0_80,87,0.3427012860774994
0_81,7,0.4464847445487976
0_82,35,0.44434934854507446
0_83,19,0.5841994881629944
0_84,33,0.41008543968200684
0_85,90,0.49503788352012634
0_86,20,0.5966945290565491
0_87,82,0.45854151248931885
0_88,89,0.6364524364471436
0_89,23,0.4467929005622864
0_90,99,0.4408814311027527
0_91,2,0.30795013904571533
0_92,62,0.3488900661468506
0_93,51,0.343769907951355
0_94,93,0.26620468497276306
0_95,36,0.529748260974884
0_96,72,0.3273184299468994
0_97,14,0.33491480350494385
0_98,25,0.3709350526332855
0_99,98,0.5211061239242554
0_100,15,0.2806156873703003
0_101,59,0.719585657119751
0_102,17,0.45859649777412415
0_103,96,0.41358697414398193
0_104,91,0.36409878730773926
0_105,74,0.3676915466785431
0_106,12,0.32549867033958435
0_107,16,0.8518961071968079
0_108,38,0.2863617539405823
0_109,32,0.36923280358314514
0_110,96,0.38757050037384033
0_111,31,0.2974325716495514
0_112,35,0.45823168754577637
0_113,92,0.5915808081626892
0_114,25,0.5255634188652039
0_115,81,0.5091737508773804
0_116,84,0.2766422629356384
0_117,38,0.5205301642417908
0_118,8,0.3456769287586212
0_119,36,0.3485735356807709
0_120,51,0.4551561772823334
0_121,41,0.4837353825569153
