image_name,image_name_copy,image_complexity
0_0,48,0.5833580493927002
0_1,35,0.3669911026954651
0_2,6,0.48790550231933594
0_3,71,0.20594725012779236
0_4,28,0.33042246103286743
0_5,35,0.5800511240959167
0_6,8,0.3248160183429718
0_7,63,0.28587570786476135
0_8,29,0.7131695747375488
0_9,31,0.4957258105278015
0_10,74,0.22312963008880615
0_11,25,0.30977389216423035
0_12,24,0.5365949273109436
0_13,41,0.46319591999053955
0_14,32,0.3508217930793762
0_15,41,0.5640074610710144
0_16,3,0.5664641261100769
0_17,24,0.4762101173400879
0_18,89,0.41459059715270996
0_19,18,0.23994886875152588
0_20,54,0.40147486329078674
0_21,46,0.5708268880844116
0_22,14,0.6250561475753784
0_23,51,0.3576224446296692
0_24,28,0.5030892491340637
0_25,89,0.4638103246688843
0_26,69,0.35191047191619873
0_27,93,0.4869648218154907
0_28,34,0.8112505674362183
0_29,55,0.3268241882324219
0_30,58,0.28474241495132446
0_31,2,0.2904454171657562
0_32,77,0.3980855643749237
0_33,52,0.42861658334732056
0_34,81,0.3391264081001282
0_35,58,0.48631832003593445
0_36,25,0.5175230503082275
0_37,44,0.2744580805301666
0_38,67,0.4363534450531006
0_39,47,0.377430260181427
0_40,0,0.2938302159309387
0_41,8,0.3568481206893921
0_42,80,0.330301970243454
0_43,22,0.1689307689666748
0_44,68,0.32424330711364746
0_45,33,0.35869166254997253
0_46,52,0.36943840980529785
0_47,9,0.4785272479057312
0_48,33,0.29596713185310364
0_49,59,0.4272177815437317
0_50,46,0.5340431332588196
0_51,91,0.22060273587703705
0_52,92,0.2341146320104599
0_53,92,0.5979818105697632
0_54,67,0.3889368176460266
0_55,20,0.5169632434844971
0_56,83,0.4263201653957367
0_57,74,0.47398319840431213
0_58,41,0.5370625257492065
0_59,89,0.3067479133605957
0_60,42,0.4366917312145233
0_61,23,0.2128305733203888
0_62,38,0.3888756036758423
0_63,37,0.4535764157772064
0_64,90,0.4018879234790802
0_65,48,0.414341539144516
0_66,42,0.5524607300758362
0_67,93,0.40680304169654846
0_68,48,0.5721969604492188
0_69,8,0.4605737030506134
0_70,75,0.5096877217292786
0_71,34,0.3356568217277527
0_72,92,0.508312463760376
0_73,83,0.2286023646593094
0_74,12,0.597623884677887
0_75,95,0.331795334815979
0_76,24,0.4026060700416565
0_77,81,0.43804657459259033
0_78,83,0.4610218405723572
0_79,78,0.40748992562294006
0_80,19,0.3269220292568207
0_81,13,0.3819010555744171
0_82,20,0.6141507625579834
0_83,82,0.5040600299835205
0_84,38,0.2747189700603485
0_85,14,0.6432457566261292
0_86,94,0.28637629747390747
0_87,70,0.36380675435066223
0_88,8,0.5580645203590393
0_89,20,0.4470522403717041
0_90,69,0.46309715509414673
0_91,11,0.6993701457977295
0_92,35,0.5014087557792664
0_93,98,0.525624692440033
0_94,93,0.44888144731521606
0_95,0,0.39302852749824524
0_96,84,0.318050354719162
0_97,58,0.5304561853408813
0_98,49,0.1565161496400833
0_99,4,0.45151928067207336
0_100,52,0.4691343903541565
0_101,74,0.3588486909866333
0_102,20,0.4024116098880768
0_103,53,0.2364964783191681
0_104,3,0.5373502969741821
0_105,83,0.4729565978050232
0_106,84,0.44162893295288086
0_107,12,0.4554431438446045
0_108,6,0.3670651614665985
0_109,78,0.39978599548339844
0_110,41,0.5543371438980103
0_111,36,0.30761078000068665
0_112,82,0.5108647346496582
0_113,18,0.3045361638069153
0_114,29,0.3484691381454468
0_115,63,0.31766602396965027
0_116,41,0.6114271879196167
0_117,42,0.4007234573364258
0_118,78,0.4322713017463684
0_119,47,0.28476080298423767
0_120,23,0.33505499362945557
0_121,43,0.3055591881275177
0_122,67,0.3885568082332611
0_123,86,0.7103950381278992
0_124,95,0.28628623485565186
0_125,39,0.6449737548828125
0_126,53,0.3293900787830353
1_0,37,0.4921514689922333
1_1,16,0.5271508097648621
1_2,42,0.39109736680984497
1_3,46,0.3997148871421814
1_4,54,0.3982316553592682
1_5,83,0.28042933344841003
1_6,32,0.4372839629650116
1_7,42,0.31321287155151367
1_8,22,0.4775804281234741
1_9,54,0.3483125567436218
1_10,90,0.3750652074813843
1_11,98,0.46749547123908997
1_12,7,0.32027468085289
1_13,13,0.6459504961967468
1_14,32,0.32942289113998413
1_15,4,0.3135599195957184
1_16,83,0.3759401738643646
1_17,35,0.40053147077560425
1_18,59,0.3891219198703766
1_19,45,0.33901745080947876
1_20,91,0.48208844661712646
1_21,61,0.5356562733650208
1_22,20,0.7332538962364197
1_23,74,0.2596876621246338
1_24,0,0.4272177815437317
1_25,47,0.4587301015853882
1_26,78,0.31231847405433655
1_27,9,0.4353386461734772
1_28,18,0.3709776997566223
1_29,48,0.7901816368103027
1_30,45,0.2435484230518341
1_31,21,0.3933482766151428
1_32,50,0.3791933059692383
1_33,33,0.3903115391731262
1_34,33,0.4617999792098999
1_35,80,0.5247549414634705
1_36,1,0.33225399255752563
1_37,40,0.21118423342704773
1_38,61,0.39626458287239075
1_39,71,0.3460114300251007
1_40,62,0.3140723407268524
1_41,85,0.3522382974624634
1_42,32,0.47151440382003784
1_43,34,0.24181853234767914
1_44,76,0.40543413162231445
1_45,78,0.46802547574043274
1_46,92,0.3165742754936218
1_47,64,0.22723181545734406
1_48,35,0.3733331263065338
1_49,61,0.4319360554218292
1_50,13,0.5716452598571777
1_51,20,0.465692400932312
1_52,66,0.379581481218338
1_53,40,0.47092026472091675
1_54,91,0.35413700342178345
1_55,72,0.41680392622947693
1_56,23,0.24903199076652527
1_57,71,0.25399067997932434
1_58,50,0.38301989436149597
1_59,48,0.7050803303718567
1_60,74,0.3339381814002991
1_61,92,0.3583926260471344
1_62,71,0.1770307719707489
1_63,24,0.4062172472476959
1_64,4,0.34685468673706055
1_65,7,0.4504627287387848
1_66,39,0.35848748683929443
1_67,53,0.4297732710838318
1_68,26,0.33513185381889343
1_69,92,0.6024333834648132
1_70,77,0.2861799895763397
1_71,80,0.45954620838165283
1_72,64,0.390695720911026
1_73,90,0.4965869188308716
1_74,1,0.4218822121620178
1_75,37,0.4176318645477295
1_76,29,0.5598694682121277
1_77,88,0.35434895753860474
1_78,96,0.26294854283332825
1_79,32,0.38546279072761536
1_80,5,0.3807893991470337
1_81,17,0.3417035937309265
